index,date,value
179,2010-01-01,158.655714285714
180,2009-12-01,157.943913043478
181,2009-11-01,152.210476190476
182,2009-10-01,154.572272727273
183,2009-09-01,148.51
184,2009-08-01,149.761904761905
185,2009-07-01,140.897826086957
186,2009-06-01,149.781363636364
187,2009-05-01,150.492380952381
188,2009-04-01,135.078181818182
189,2009-03-01,128.52
190,2009-02-01,129.4815
191,2009-01-01,127.807272727273
192,2008-12-01,118.792173913043
193,2008-11-01,121.886
194,2008-10-01,123.586956521739
195,2008-09-01,143.269090909091
196,2008-08-01,146.428095238095
197,2008-07-01,147.356956521739
198,2008-06-01,146.149523809524
199,2008-05-01,142.043636363636
200,2008-04-01,140.704545454545
201,2008-03-01,149.220476190476
202,2008-02-01,157.289523809524
203,2008-01-01,139.822608695652
